,Dem_Total,Rep_Total,Total_votes
ALL COUNTIES,"3,308,124","4,569,843","7,993,851"
ANDERSON,"3,813","12,262","16,212"
ANDREWS,795,"3,639","4,482"
ANGELINA,"7,834","20,303","28,406"
ARANSAS,"2,704","6,830","9,648"
ARCHER,525,"3,600","4,164"
ARMSTRONG,98,828,935
ATASCOSA,"5,133","7,461","12,721"
AUSTIN,"2,252","9,265","11,649"
BAILEY,466,"1,339","1,816"
BANDERA,"1,864","7,426","9,448"
BASTROP,"9,864","14,033","24,481"
BAYLOR,267,"1,297","1,592"
BEE,"3,452","4,356","7,879"
BELL,"35,512","49,574","86,206"
BEXAR,"264,856","241,617","513,681"
BLANCO,"1,220","3,638","4,973"
BORDEN,32,324,36300.00%
BOSQUE,"1,367","5,885","7,356"
BOWIE,"10,196","24,869","35,404"
BRAZORIA,"34,421","70,862","106,739"
BRAZOS,"17,477","37,209","55,962"
BREWSTER,"1,765","1,976","3,867"
BRISCOE,117,578,702
BROOKS,"1,886",507,"2,403"
BROWN,"1,904","11,895","13,947"
BURLESON,"1,705","4,671","6,456"
BURNET,"3,674","12,843","16,796"
CALDWELL,"4,791","6,021","11,068"
CALHOUN,"2,410","4,144","6,648"
CALLAHAN,751,"4,378","5,197"
CAMERON,"49,975","26,099","76,895"
CAMP,"1,428","2,881","4,335"
CARSON,292,"2,451","2,778"
CASS,"2,924","8,763","11,788"
CASTRO,630,"1,470","2,119"
CHAMBERS,"2,790","11,787","14,735"
CHEROKEE,"3,875","12,094","16,126"
CHILDRESS,320,"1,665","1,996"
CLAY,740,"4,266","5,057"
COCHRAN,256,649,917
COKE,179,"1,218","1,408"
COLEMAN,442,"3,012","3,492"
COLLIN,"101,415","196,888","302,821"
COLLINGSWORTH,177,962,"1,150"
COLORADO,"2,029","6,026","8,117"
COMAL,"11,450","39,318","51,529"
COMANCHE,890,"3,944","4,906"
CONCHO,194,793,"1,001"
COOKE,"2,246","11,951","14,351"
CORYELL,"5,158","11,220","16,604"
COTTLE,180,555,741
CRANE,275,985,"1,283"
CROCKETT,480,957,"1,457"
CROSBY,639,"1,132","1,787"
CULBERSON,568,295,879
DALLAM,253,"1,248","1,534"
DALLAS,"405,571","295,813","710,117"
DAWSON,"1,019","2,591","3,642"
DEAF SMITH,"1,239","3,042","4,309"
DELTA,454,"1,524","2,018"
DENTON,"80,978","157,579","242,781"
DEWITT,"1,467","5,122","6,638"
DICKENS,216,793,"1,019"
DIMMIT,"2,141",762,"2,917"
DONLEY,226,"1,287","1,535"
DUVAL,"3,331",980,"4,344"
EASTLAND,970,"5,444","6,495"
ECTOR,"8,118","24,010","32,513"
EDWARDS,232,642,884
ELLIS,"13,881","39,574","54,151"
EL PASO,"112,952","57,150","172,412"
ERATH,"1,965","10,329","12,473"
FALLS,"2,033","3,356","5,434"
FANNIN,"2,486","8,161","10,804"
FAYETTE,"2,315","8,106","10,551"
FISHER,512,"1,094","1,629"
FLOYD,551,"1,523","2,085"
FOARD,140,348,495
FORT BEND,"101,144","116,126","219,489"
FRANKLIN,751,"3,446","4,257"
FREESTONE,"1,850","5,646","7,570"
FRIO,"2,376","1,559","3,968"
GAINES,535,"3,484","4,066"
GALVESTON,"39,511","69,059","110,078"
GARZA,279,"1,263","1,560"
GILLESPIE,"2,055","10,306","12,550"
GLASSCOCK,44,526,57800.00%
GOLIAD,"1,127","2,294","3,458"
GONZALES,"1,777","4,216","6,057"
GRAY,886,"6,443","7,389"
GRAYSON,"10,670","30,936","42,264"
GREGG,"12,398","28,742","41,507"
GRIMES,"2,339","6,141","8,601"
GUADALUPE,"15,744","33,117","49,514"
HALE,"2,243","6,490","8,854"
HALL,265,832,"1,109"
HAMILTON,591,"2,918","3,552"
HANSFORD,159,"1,788","1,962"
HARDEMAN,302,"1,176","1,495"
HARDIN,"3,359","17,746","21,297"
HARRIS,"587,044","586,073","1,188,585"
HARRISON,"8,456","17,512","26,170"
HARTLEY,184,"1,708","1,913"
HASKELL,553,"1,424","2,013"
HAYS,"25,537","31,661","59,011"
HEMPHILL,192,"1,298","1,509"
HENDERSON,"6,106","21,231","27,627"
HIDALGO,"97,969","39,865","139,159"
HILL,"2,752","9,132","12,045"
HOCKLEY,"1,486","5,546","7,134"
HOOD,"3,843","18,409","22,535"
HOPKINS,"2,777","9,836","12,753"
HOUSTON,"2,265","5,880","8,214"
HOWARD,"2,110","6,453","8,695"
HUDSPETH,379,471,863
HUNT,"6,671","21,011","28,049"
HUTCHINSON,"1,045","6,804","7,928"
IRION,112,668,788
JACK,303,"2,580","2,908"
JACKSON,"1,070","3,906","5,025"
JASPER,"3,423","9,957","13,517"
JEFF DAVIS,440,719,"1,192"
JEFFERSON,"44,668","43,242","88,627"
JIM HOGG,"1,301",356,"1,667"
JIM WELLS,"6,492","4,598","11,166"
JOHNSON,"10,496","37,661","48,838"
JONES,"1,226","4,262","5,567"
KARNES,"1,325","2,825","4,185"
KAUFMAN,"9,472","24,846","34,670"
KENDALL,"3,043","14,508","17,783"
KENEDY,82,84,16700.00%
KENT,66,335,40500.00%
KERR,"4,338","17,274","21,879"
KIMBLE,217,"1,667","1,892"
KING,5,139,14500.00%
KINNEY,522,880,"1,425"
KLEBERG,"4,754","4,058","8,907"
KNOX,332,"1,160","1,510"
LAMAR,"4,181","12,826","17,197"
LAMB,998,"3,058","4,091"
