,male,female,white,black,native,asian,aapi,hispanic,non-hispanic white,income,less than 10k,10-15k,15-25,25-35,35-50,50-75k,75-100,100-150,150-200,200+,pct below PL,HH size,hs,college,rentals,owner-occupied,pop,over_18,over_65,employed,in civilian labor force,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,85+,County
"Polk County, Texas: Summary level: 050, state:48> county:373",53.6,46.4,82.9,11.2,1.4,0.5,0.0,13.9,71.5,17195,8.2,6.4,15.3,14.8,15.3,17.9,10.2,7.8,2.2,1.9,13.8,2.42,77.8,12.1,20.9,79.1,45757,79.2,19.6,41.7,47.2,5.6,11.7,11.9,13.8,7.2,7.2,12.2,5.7,1.6,Polk
"Refugio County, Texas: Summary level: 050, state:48> county:391",49.3,50.7,86.0,5.9,0.1,0.3,0.0,48.6,43.7,2771,7.7,7.0,12.9,10.1,17.0,16.5,11.9,11.1,2.9,2.9,16.5,2.56,79.6,10.3,22.3,77.7,7295,76.7,20.5,52.0,56.3,5.9,9.1,11.4,13.7,7.0,6.3,11.3,6.9,2.3,Refugio
"Van Zandt County, Texas: Summary level: 050, state:48> county:467",49.2,50.8,93.4,2.6,0.7,0.4,0.3,9.7,84.9,18903,7.9,6.6,15.0,11.4,15.9,18.3,11.1,8.7,3.1,2.1,12.9,2.74,81.5,14.9,22.0,78.0,52605,76.5,18.9,51.1,54.6,5.1,9.7,11.8,14.3,7.5,6.7,10.9,6.1,1.9,Van
"Caldwell County, Texas: Summary level: 050, state:48> county:055",50.5,49.5,72.5,7.0,0.8,0.2,0.0,48.5,43.1,12059,6.0,5.4,12.5,11.0,18.2,20.5,10.4,9.8,3.8,2.4,11.5,2.92,78.2,15.6,33.6,66.4,38870,74.9,12.7,52.4,56.5,8.4,12.7,13.0,13.2,6.5,5.1,7.2,3.7,1.8,Caldwell
"Wilbarger County, Texas: Summary level: 050, state:48> county:487",49.4,50.6,84.6,8.3,1.0,0.8,0.0,27.4,61.5,5253,7.7,10.3,11.6,14.3,14.8,19.8,12.2,6.5,2.4,0.4,14.9,2.39,79.8,17.6,34.6,65.4,13265,75.5,16.3,57.8,61.8,7.2,11.5,11.1,13.6,7.6,5.3,9.0,5.7,1.6,Wilbarger
"Martin County, Texas: Summary level: 050, state:48> county:317",50.2,49.8,84.9,2.3,0.6,0.0,0.2,45.9,50.9,1563,6.6,5.4,8.7,13.9,14.7,12.8,13.2,12.2,5.4,7.2,11.8,3.21,75.4,17.3,25.4,74.6,5096,69.6,12.6,60.9,62.4,7.1,11.2,12.2,13.5,3.0,6.6,6.8,3.9,2.0,Martin
"Reagan County, Texas: Summary level: 050, state:48> county:383",53.2,46.8,69.4,3.3,0.0,0.0,0.0,67.4,29.0,1200,4.8,12.1,9.2,3.8,15.2,17.3,17.5,14.7,1.4,4.3,15.7,2.89,60.5,11.0,27.3,72.7,3520,71.2,12.0,63.3,64.4,4.3,13.0,11.9,13.5,9.4,5.2,6.9,3.8,1.3,Reagan
"Yoakum County, Texas: Summary level: 050, state:48> county:501",49.6,50.4,88.3,1.4,0.2,0.9,0.0,60.8,36.7,2594,6.9,2.5,12.1,10.6,17.8,15.7,11.1,15.7,4.4,3.2,10.7,3.09,73.4,15.8,24.3,75.7,8054,68.1,11.7,61.9,67.6,5.4,12.0,13.9,11.7,7.2,3.0,6.3,4.3,1.1,Yoakum
"Hale County, Texas: Summary level: 050, state:48> county:189",51.7,48.3,83.7,4.3,0.5,0.5,0.0,57.4,35.9,11644,8.7,8.5,13.0,12.6,17.5,18.8,10.1,7.2,1.8,1.8,19.1,2.84,70.8,14.3,37.1,62.9,35925,71.6,12.3,54.4,59.3,8.1,13.4,11.9,12.5,5.6,4.3,6.4,4.5,1.4,Hale
"Shelby County, Texas: Summary level: 050, state:48> county:419",48.9,51.1,79.5,17.4,0.1,0.8,0.1,17.2,64.0,9564,10.7,6.5,17.1,13.5,15.3,15.0,9.7,6.5,2.9,2.8,18.3,2.66,76.2,13.8,27.9,72.1,25698,73.6,15.7,53.4,57.0,7.1,10.7,12.3,13.0,6.0,6.3,9.0,5.1,1.6,Shelby
