County,2018_Rep_Gov,2018_Rep_Sen,2018_Dem_Sen,2018_Dem_Gov,2018_Dem_Gov_Runoff,2016_Rep_Pres,2016_Dem_Pres,2014_Rep_Sen,2014_Rep_Gov,2014_Dem_Sen,2014_Dem_Gov,2014_Dem_Sen_Runoff,2012_Rep_Pres,2012_Rep_Sen,2012_Dem_Pres,2012_Dem_Sen,2012_Dem_Sen_Runoff,2010_Rep_Gov,2010_Dem_Gov,2008_Rep_Pres,2008_Rep_Sen,2008_Dem_Pres,2008_Dem_Sen,2006_Rep_Sen,2006_Rep_Gov,2006_Dem_Sen,2006_Dem_Gov,2006_Sen_Dem_Runoff,2004_Rep_Pres,2004_Dem_Pres,2002_Rep_Sen,2002_Rep_Gov,2002_Dem_Sen,2002_Dem_Gov,2002_Dem_Sen_Runoff,2000_Rep_Pres,2000_Rep_Sen,2000_Dem_Pres,2000_Dem_Sen,2000_Dem_Sen_Runoff,1998_Rep_Gov,1998_Dem_Gov,1996_Rep_Pres,1996_Rep_Sen,1996_Dem_Pres,1996_Dem_Sen,1996_Dem_Sen_Runoff,1994_Rep_Sen,1994_Rep_Gov,1994_Dem_Sen,1994_Dem_Gov,1994_Dem_Sen_Runoff,1992_Rep_Pres,1992_Dem_Pres
ALL COUNTIES,10.16,10.16,6.84,6.71,2.85,19.92,10.08,9.66,9.84,3.75,4.07,1.48,11.09,10.77,4.52,3.81,1.81,11.4,5.23,10.68,9.6,22.54,17.07,4.93,5.16,3.94,4,1.63,5.61,6.84,5.07,5.08,7.81,8.21,5.08,9.7,8.22,6.78,5.32,2.11,5.35,4.41,10.52,10.17,9.5,9.18,4.97,6.14,6.16,11.37,11.47,8.26,10,17.16
ANDERSON,22.87,22.66,3.12,3.18,0.97,31.62,4.9,21.4,21.76,2.38,2.6,0.57,17.96,17.54,2.19,2.06,0.63,17.07,4.42,15.68,13.98,19.79,15.86,6.97,7.38,7.9,8.01,7.82,12.23,8.19,3.8,3.99,16.64,16.7,7.36,13.94,12.66,12.11,10.07,2.14,2.97,16.62,7.91,7.64,20.99,23.26,5.19,3.31,3.39,26.44,26.36,23.64,3.1,39.44
ANDREWS,23.07,22.73,0.56,0.53,0.14,33.8,1.34,15.7,16.43,0.8,0.86,0.12,13.64,13.35,1.09,1.1,0.19,15.33,2.98,12.01,10.91,15.31,12.3,4.12,4.17,12.45,12.41,7.17,3.86,15.19,1.97,2.04,16.37,17.17,8.41,6.6,5.87,20.74,17.51,0.69,4.39,13.3,7.38,7.2,20.61,22.26,9.04,3.66,3.66,11.37,10.59,4.35,4.07,34.27
ANGELINA,15.58,15.82,3.44,3.35,0.82,27.22,5.31,16.79,17.31,1.8,1.89,0.5,22.41,21.06,2.74,2.54,0.6,10.78,6.7,10.59,9.26,26.73,20.49,5.62,5.9,6.74,6.91,0.61,6.5,10.32,2.2,2.23,16.7,17.2,4.37,6.92,6.15,15.79,13.31,6.46,2.44,8.43,8.32,8.09,17.54,18.22,6.83,2.2,2.22,25.05,25.07,15.32,4.98,29.57
ARANSAS,19.07,18.9,3.29,3.12,1.41,33.26,4.84,19.69,20.31,1.82,2.02,0.41,21.55,20.72,3.07,2.85,0.9,15.94,2.88,26.8,23.93,15.71,12.97,14.26,20.46,2,1.99,0.61,16.63,4.42,14.9,15.94,6.65,7.05,1.45,20.88,18.69,5.2,4.51,0.31,7.81,6.12,20.45,20.13,15.24,14.65,12.97,16.22,16.35,13.81,13.94,12.34,24.4,13.26
ARCHER,23.29,23.48,1.77,1.68,0.29,39.97,2.72,20.34,21.14,0.87,0.95,0.29,22.99,24.57,1.28,1.18,0.18,18.25,3.03,20.38,17.68,18.06,13.09,3.26,3.42,3.92,4.16,0.54,2.65,14.11,2.7,3.14,12.39,12.58,1.84,7.61,7.18,11.66,9.43,1.06,2.35,4.26,5.98,5.8,16.63,16.83,4.67,2.52,2.53,14.4,15.1,6.39,2.51,32.95
ARMSTRONG,43.8,43.59,0.71,0.64,0.07,56.04,0.36,40.03,41.6,0,0,0,25.09,24.24,0,0,0,36.53,0,37.39,30.41,0,0,12.84,12.05,0,0,0,28.79,3.17,13.66,15.33,6.54,6.54,1.53,35.67,31.76,4.45,3.44,0,9.2,10.09,35.5,34.07,5.8,5.65,2.65,8.15,8.15,13.83,14.87,8.37,5.29,38.5
ATASCOSA,12.44,12.35,4.2,4.18,1.08,18.01,7.56,8.28,8.42,3.73,3.88,1.23,11.15,10.79,4.38,3.83,0.62,9.21,7.75,7.55,6.99,23.63,19.88,2.58,2.84,7.57,7.97,0.68,2.2,11.41,2.85,2.97,17.88,18.69,5.25,4.97,4.51,8.71,7.02,0.33,2.3,6.48,6.13,6.04,11.56,12,4.26,3.79,3.81,19.12,18.69,15,3.44,23.52
AUSTIN,18.52,18.59,2.56,2.55,0.91,32.56,3.58,19.76,19.92,0.92,0.98,0.29,24.57,24.25,1.5,1.43,0.28,28.98,3.11,16.94,15.08,17.28,13.31,18.04,18.74,2.65,2.74,1.02,16.01,3.07,17.74,18.84,3.97,3.96,1.25,21.64,19.36,4.25,3.76,0.17,9.51,3.45,19.91,19.43,7.23,7.07,1.87,0.88,5.2,18.55,18.17,7.07,7.65,18.15
BAILEY,24.88,24.93,1.14,1.14,0.6,26.23,3.23,13.26,13.43,0.86,1.09,0.23,20.46,19.78,0.57,0.43,0.17,23.04,1.88,17.98,15.26,13.37,10.12,9.41,9.25,2.18,2.08,0.23,17.88,6.94,9.15,10.59,5.67,5.93,1.37,4.81,4.65,13.51,9.99,0.43,2.56,6.66,5.29,5.23,9.72,9.74,2.28,2.11,2.19,19.6,19.86,6.32,4.19,25.68
BANDERA,18.91,18.66,3.25,3.18,1.73,35.55,4.61,19.33,19.43,1.55,1.67,0.74,28.29,26.74,1.32,1.24,0.53,22.64,2.07,28.15,25.15,12.21,9.52,14.17,14.71,1.3,1.35,0.36,26.1,2.17,12.65,13.04,2.52,2.62,1.17,32.06,28.01,3.02,2.61,0.47,18.24,2.04,28.39,27.77,3.23,3.01,0.84,21.21,21.6,4.98,4.91,3.25,29.79,8.67
